GEOID,location,name,estimate,moe,label,concept,geography
29510101200,Census Tract 1012; St. Louis city; Missouri,B08301_010,11,17,Estimate!!Total:!!Public transportation (excluding taxicab):,MEANS OF TRANSPORTATION TO WORK,block group
29510101200,Census Tract 1012; St. Louis city; Missouri,B08301_011,11,17,Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus,MEANS OF TRANSPORTATION TO WORK,block group
29510101200,Census Tract 1012; St. Louis city; Missouri,B08301_012,0,12,Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail,MEANS OF TRANSPORTATION TO WORK,block group
29510101200,Census Tract 1012; St. Louis city; Missouri,B08301_013,0,12,Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail,MEANS OF TRANSPORTATION TO WORK,block group
29510101200,Census Tract 1012; St. Louis city; Missouri,B08301_014,0,12,"Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)",MEANS OF TRANSPORTATION TO WORK,block group
29510101200,Census Tract 1012; St. Louis city; Missouri,B08301_015,0,12,Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat,MEANS OF TRANSPORTATION TO WORK,block group
29510101200,Census Tract 1012; St. Louis city; Missouri,B08301_016,0,12,Estimate!!Total:!!Taxicab,MEANS OF TRANSPORTATION TO WORK,block group
29510101200,Census Tract 1012; St. Louis city; Missouri,B08301_017,0,12,Estimate!!Total:!!Motorcycle,MEANS OF TRANSPORTATION TO WORK,block group
29510101200,Census Tract 1012; St. Louis city; Missouri,B08301_018,0,12,Estimate!!Total:!!Bicycle,MEANS OF TRANSPORTATION TO WORK,block group
29510101200,Census Tract 1012; St. Louis city; Missouri,B08301_019,10,16,Estimate!!Total:!!Walked,MEANS OF TRANSPORTATION TO WORK,block group
29510101200,Census Tract 1012; St. Louis city; Missouri,B08301_020,12,18,Estimate!!Total:!!Other means,MEANS OF TRANSPORTATION TO WORK,block group
29510101200,Census Tract 1012; St. Louis city; Missouri,B08301_021,119,58,Estimate!!Total:!!Worked from home,MEANS OF TRANSPORTATION TO WORK,block group
29510101300,Census Tract 1013; St. Louis city; Missouri,B08301_001,2161,386,Estimate!!Total:,MEANS OF TRANSPORTATION TO WORK,block group
29510101300,Census Tract 1013; St. Louis city; Missouri,B08301_002,1912,402,"Estimate!!Total:!!Car, truck, or van:",MEANS OF TRANSPORTATION TO WORK,block group
29510101300,Census Tract 1013; St. Louis city; Missouri,B08301_003,1818,403,"Estimate!!Total:!!Car, truck, or van:!!Drove alone",MEANS OF TRANSPORTATION TO WORK,block group
29510101300,Census Tract 1013; St. Louis city; Missouri,B08301_004,94,77,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:",MEANS OF TRANSPORTATION TO WORK,block group
29510101300,Census Tract 1013; St. Louis city; Missouri,B08301_005,94,77,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool",MEANS OF TRANSPORTATION TO WORK,block group
29510101300,Census Tract 1013; St. Louis city; Missouri,B08301_006,0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool",MEANS OF TRANSPORTATION TO WORK,block group
