geometry
POINT (-90.21403958786898 38.61347252009753)
POINT (-90.22242240633491 38.586623078489055)
POINT (-90.20193234849737 38.63203664550524)
POINT (-90.28687968439745 38.62753274578833)
POINT (-90.28137260523145 38.66906206586643)
POINT (-90.27778441265849 38.66086823101327)
POINT (-90.2882347972452 38.651590983861)
POINT (-90.28897938324 38.65809650676604)
POINT (-90.29041482468469 38.66547605672314)
POINT (-90.29974089073355 38.629146931014425)
POINT (-90.29160199655098 38.615980409629564)
POINT (-90.30062033729776 38.64765174967272)
POINT (-90.26455502824298 38.66945483334532)
POINT (-90.26828653418241 38.663146020463195)
POINT (-90.27117647402886 38.67829613928157)
POINT (-90.25395521680045 38.70095072689882)
POINT (-90.25335853169867 38.668278500422616)
POINT (-90.25166344916974 38.696031123496816)
POINT (-90.24474776866114 38.69136495741672)
POINT (-90.24007848506098 38.685909816337144)
POINT (-90.24105871640982 38.64885414576604)
POINT (-90.24829811385773 38.66004379885404)
POINT (-90.24006887479443 38.65973655578273)
POINT (-90.27047917086448 38.65555754727044)
POINT (-90.26079008309135 38.57510266739845)
POINT (-90.24651994568401 38.57291949282235)
POINT (-90.23878943337375 38.57199868848971)
POINT (-90.24885672607189 38.64618828743845)
POINT (-90.2389354989844 38.638978786131744)
POINT (-90.20905765446554 38.66023037507483)
POINT (-90.28450304769005 38.59868031807727)
POINT (-90.2846811553668 38.586551057797315)
POINT (-90.2708842440417 38.58542638150404)
POINT (-90.22240856789628 38.659895691859106)
POINT (-90.21595651918818 38.66660876892288)
POINT (-90.23980509065379 38.671435707164655)
POINT (-90.22876922943081 38.67278026006241)
POINT (-90.25734738071743 38.655511964800546)
POINT (-90.25524965551783 38.59281379779679)
POINT (-90.25823570812828 38.601863266293066)
POINT (-90.24004489511123 38.590989915116445)
POINT (-90.25520949275717 38.708210068416065)
POINT (-90.2557143195676 38.63123371280398)
POINT (-90.27690186741158 38.61585652219319)
POINT (-90.26335307180558 38.614664728728464)
POINT (-90.24149481682844 38.58312316144893)
POINT (-90.2230846566909 38.642945023550254)
POINT (-90.26492597720338 38.591090148833885)
POINT (-90.23939222261735 38.71810692096247)
POINT (-90.23357232593855 38.72238546336682)
POINT (-90.26203050470627 38.644663711852544)
POINT (-90.25520845384698 38.58079984255415)
POINT (-90.25158953975952 38.613911006306175)
POINT (-90.21031858802317 38.672155691798245)
POINT (-90.27935031092112 38.678484846073076)
POINT (-90.22512082489374 38.67755477178466)
POINT (-90.25587697512186 38.62401658634994)
POINT (-90.23798951362032 38.60924802817648)
POINT (-90.20240277421767 38.66154504530802)
POINT (-90.2291436647234 38.65502798386641)
POINT (-90.2269529907363 38.6358098041001)
POINT (-90.31004505121696 38.58923055118395)
POINT (-90.30121710280243 38.607937520845915)
POINT (-90.27733663143357 38.57247151247403)
POINT (-90.24079895713348 38.71408408507439)
POINT (-90.28755385380587 38.562378036390776)
POINT (-90.27837733534548 38.577453566602685)
POINT (-90.25430509712776 38.55411432256256)
POINT (-90.2937975665997 38.57153398714563)
POINT (-90.29333827990779 38.578075921413884)
POINT (-90.27427987501353 38.55572591430771)
POINT (-90.27565244641946 38.56243999443465)
POINT (-90.26424385264794 38.56969481543631)
POINT (-90.2543517624088 38.56250782087841)
POINT (-90.264945836161 38.549206770644815)
POINT (-90.27697078607629 38.64767136497904)
POINT (-90.23790908363084 38.60127377798526)
POINT (-90.23133541231014 38.665210259211015)
POINT (-90.292880383967 38.60859145441571)
POINT (-90.30806094401215 38.598052246276225)
POINT (-90.25476033589162 38.642688855609634)
POINT (-90.30742356702392 38.6186087097051)
POINT (-90.2517398411531 38.683761826401486)
POINT (-90.22211195574693 38.71708273079766)
POINT (-90.21163260328085 38.618983870074)
POINT (-90.22626928280896 38.610962841805915)
POINT (-90.19578577282849 38.64716191162017)
POINT (-90.29762789391994 38.58994540443228)
POINT (-90.24872451545126 38.5896857463421)
POINT (-90.24714780488509 38.59929269706545)
POINT (-90.25708684551505 38.63951965298256)
POINT (-90.28121312092837 38.59340029221555)
POINT (-90.20957793253405 38.65047156491019)
POINT (-90.28092507409875 38.60684394196553)
POINT (-90.23671552639064 38.61823241533244)
POINT (-90.20868684629328 38.63822758047459)
POINT (-90.20658593024851 38.607855505181966)
POINT (-90.26111782287785 38.67519255483622)
POINT (-90.19364041836697 38.629377614242124)
POINT (-90.19508625394356 38.639252671279934)
POINT (-90.21782973406226 38.60563416451447)
POINT (-90.2328984995508 38.58882870018996)
POINT (-90.22899608213069 38.59875136606004)
POINT (-90.22148094516876 38.596118384102176)
