"","GEOID","location","name","estimate","moe","label","concept","geography"
"52","29189","St. Louis County, Missouri","B08119_052",265,100,"Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!$50,000 to $64,999","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"53","29189","St. Louis County, Missouri","B08119_053",288,155,"Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!$65,000 to $74,999","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"54","29189","St. Louis County, Missouri","B08119_054",1294,258,"Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!$75,000 or more","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"55","29189","St. Louis County, Missouri","B08119_055",68792,2624,"Estimate!!Total:!!Worked from home:","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"56","29189","St. Louis County, Missouri","B08119_056",5014,578,"Estimate!!Total:!!Worked from home:!!$1 to $9,999 or loss","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"57","29189","St. Louis County, Missouri","B08119_057",2759,485,"Estimate!!Total:!!Worked from home:!!$10,000 to $14,999","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"58","29189","St. Louis County, Missouri","B08119_058",4683,729,"Estimate!!Total:!!Worked from home:!!$15,000 to $24,999","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"59","29189","St. Louis County, Missouri","B08119_059",4815,980,"Estimate!!Total:!!Worked from home:!!$25,000 to $34,999","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"60","29189","St. Louis County, Missouri","B08119_060",7844,948,"Estimate!!Total:!!Worked from home:!!$35,000 to $49,999","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"61","29189","St. Louis County, Missouri","B08119_061",7517,719,"Estimate!!Total:!!Worked from home:!!$50,000 to $64,999","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"62","29189","St. Louis County, Missouri","B08119_062",5040,724,"Estimate!!Total:!!Worked from home:!!$65,000 to $74,999","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"63","29189","St. Louis County, Missouri","B08119_063",31120,1584,"Estimate!!Total:!!Worked from home:!!$75,000 or more","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
