"","GEOID","location","name","estimate","moe","label","concept","geography"
"28","295101011002","Block Group 2; Census Tract 1011; St. Louis city; Missouri","B08301_007",0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","MEANS OF TRANSPORTATION TO WORK","block group"
"29","295101011002","Block Group 2; Census Tract 1011; St. Louis city; Missouri","B08301_008",0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","MEANS OF TRANSPORTATION TO WORK","block group"
"30","295101011002","Block Group 2; Census Tract 1011; St. Louis city; Missouri","B08301_009",0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","MEANS OF TRANSPORTATION TO WORK","block group"
"31","295101011002","Block Group 2; Census Tract 1011; St. Louis city; Missouri","B08301_010",0,12,"Estimate!!Total:!!Public transportation (excluding taxicab):","MEANS OF TRANSPORTATION TO WORK","block group"
"32","295101011002","Block Group 2; Census Tract 1011; St. Louis city; Missouri","B08301_011",0,12,"Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus","MEANS OF TRANSPORTATION TO WORK","block group"
"33","295101011002","Block Group 2; Census Tract 1011; St. Louis city; Missouri","B08301_012",0,12,"Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","MEANS OF TRANSPORTATION TO WORK","block group"
"34","295101011002","Block Group 2; Census Tract 1011; St. Louis city; Missouri","B08301_013",0,12,"Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","MEANS OF TRANSPORTATION TO WORK","block group"
"35","295101011002","Block Group 2; Census Tract 1011; St. Louis city; Missouri","B08301_014",0,12,"Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","MEANS OF TRANSPORTATION TO WORK","block group"
"36","295101011002","Block Group 2; Census Tract 1011; St. Louis city; Missouri","B08301_015",0,12,"Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","MEANS OF TRANSPORTATION TO WORK","block group"
"37","295101011002","Block Group 2; Census Tract 1011; St. Louis city; Missouri","B08301_016",0,12,"Estimate!!Total:!!Taxicab","MEANS OF TRANSPORTATION TO WORK","block group"
"38","295101011002","Block Group 2; Census Tract 1011; St. Louis city; Missouri","B08301_017",0,12,"Estimate!!Total:!!Motorcycle","MEANS OF TRANSPORTATION TO WORK","block group"
"39","295101011002","Block Group 2; Census Tract 1011; St. Louis city; Missouri","B08301_018",0,12,"Estimate!!Total:!!Bicycle","MEANS OF TRANSPORTATION TO WORK","block group"
"40","295101011002","Block Group 2; Census Tract 1011; St. Louis city; Missouri","B08301_019",0,12,"Estimate!!Total:!!Walked","MEANS OF TRANSPORTATION TO WORK","block group"
"41","295101011002","Block Group 2; Census Tract 1011; St. Louis city; Missouri","B08301_020",0,12,"Estimate!!Total:!!Other means","MEANS OF TRANSPORTATION TO WORK","block group"
